FID_1_1,DBA_Edited,Yelp_Name,NOT_FOUND,CLOSED,Temp_CLOSE,TempOrPerm,Years_Open,GasStation,DollarStor,ChainFastF,PRIMARY_LI,Secondary_,ADDRESS,City,State,FullAddres,Lat,Long,lname,GEOID,BUFF_DIST,Count_Closed,Count_Open,Bus_Tot,Prop_Closed,DistDowntown
350,HONEY-DEW-DONUTS,Honey Dew Donuts,0,0,0,0,NA,0,0,0,FoodDisp,,729 Hartford Ave,Providence,RI,"729 Hartford Ave, Providence, RI",41.8201669,-71.4696708,Hartford,44007001800,0.25,0,2,2,0,3.42362128
709,Hope-Club,The Hope Club,0,0,0,0,NA,0,0,0,LiquorD,,6 Benevolent St,Providence,RI,"6 Benevolent St, Providence, RI",41.8248974,-71.4050976,College Hill,44007003602,0.25,1,19,20,0.05,0.119949602
651,Hope-Street-Pizza,Hope Street Pizza and Family Restaurant,0,0,0,0,NA,0,0,0,LiquorBvic,,772 Hope St,Providence,RI,"772 Hope St, Providence, RI",41.8479768,-71.3957391,Hope,44007003300,0.25,0,17,17,0,1.413253393
756,HOT-CLUB,The Hot Club,0,0,0,0,NA,0,0,0,Parking,,616 South Water St,Providence,RI,"616 South Water St, Providence, RI",41.8168702,-71.4005285,Fox Point,44007003700,0.25,2,11,13,0.154,0.201332211
94,Hotel-Providence--Backstage-Kitchen-&-Bar,Hotel Providence,0,0,0,0,NA,0,0,0,LiquorBtav,,311 Westminster St,Providence,RI,"311 Westminster St, Providence, RI",41.8222949,-71.4140677,Downtown,44007000800,0.25,7,97,104,0.067,0
334,HOURS-AUTO-REPAIR,Hour & Sons Auto Service,0,0,0,0,NA,0,0,0,MoVehRep,,270 Reservoir Ave,Providence,RI,"270 Reservoir Ave, Providence, RI",41.7894503,-71.4293566,Reservoir,44007001500,0.25,0,6,6,0,2.123852487
822,HUDSON-TERMINAL,Hudson Terminal,0,0,0,0,NA,1,0,0,StoPetrol,,29 Terminal Rd,Providence,RI,"29 Terminal Rd, Providence, RI",41.796648,-71.388988,Washington Park,44007000101,0.25,0,2,2,0,1.363729746
543,I-Love-Mexico,I Love Mexico Bar & Grille,0,0,0,0,NA,0,0,0,LiquorBvic,,281 Smith St,Providence,RI,"281 Smith St, Providence, RI",41.8335579,-71.4210575,Smith Hill,44007002600,0.25,0,12,12,0,0.28033654
652,India-Restaurant,India Restaurant,0,0,0,0,NA,0,0,0,LiquorBvic,,1060 Hope St,Providence,RI,"1060 Hope St, Providence, RI",41.8560714,-71.3918394,Hope,44007003300,0.25,0,7,7,0,1.995101607
476,InProv-Parking,InProv Parking,1,0,0,0,NA,0,0,0,Parking,,20 Dike St,Providence,RI,"20 Dike St, Providence, RI",41.8151814,-71.440521,Olneyville,44007001600,0.25,0,14,14,0,1.470360172
772,Insomnia-Cookies,Insomnia Cookies,0,0,0,0,NA,0,0,0,FoodDisp,,307 Thayer St,Providence,RI,"307 Thayer St, Providence, RI",41.8304438,-71.4007837,College Hill,44007003601,0.25,1,26,27,0.037,0.588947954
326,INTERNATIONAL-AUTO,International Motor Group,0,0,0,0,NA,0,0,0,JunkShop,,385 Huntington Ave,Providence,RI,"385 Huntington Ave, Providence, RI",41.8053649,-71.4413789,Silver Lake,44007001400,0.25,1,16,17,0.059,1.826595864
733,International-Lounge,International Lounge,0,0,0,0,NA,0,0,0,LiquorBvic,,18 Bridge St,Providence,RI,"18 Bridge St, Providence, RI",41.8178577,-71.4019003,Fox Point,44007003700,0.25,2,15,17,0.118,0.154329424
386,International-Nutrition-Club,International Nutrition Club,1,0,0,0,NA,0,0,0,FoodDisp,,52 Valley St,Providence,RI,"52 Valley St, Providence, RI",41.8184013,-71.4411608,Olneyville,44007001900,0.25,1,25,26,0.038,1.464687262
486,Irving-Gas-Station,Irving's Gas Station And papa's Cafe,0,0,0,0,NA,0,0,0,FoodDisp,,280 Plainfield St,Providence,RI,"280 Plainfield St, Providence, RI",41.8138968,-71.4474686,Silver Lake,44007001600,0.25,0,17,17,0,1.956829995
428,ISLA-BAR-&-GRILL,Isla Bar & Grill,0,0,0,0,NA,0,0,0,LiquorBvic,,1040 Chalkstone Ave,Providence,RI,"1040 Chalkstone Ave, Providence, RI",41.832125,-71.4423358,Valley,44007002200,0.25,1,29,30,0.033,1.659684366
837,Island-House,Island House,0,0,0,0,NA,0,0,0,FoodDisp,,242 Broad St,Providence,RI,"242 Broad St, Providence, RI",41.8159428,-71.419748,Upper South Providence,44007000700,0.25,0,18,18,0,0.222085235
228,Italo-American-Club,Italo-American Club of Ri,0,0,0,0,NA,0,0,0,LiquorD,,477 Broadway,Providence,RI,"477 Broadway, Providence, RI",41.8189783,-71.4340426,Federal Hill,44007001000,0.25,1,16,17,0.059,0.971957129
653,IVY-TAVERN,Ivy Tavern,0,0,0,0,NA,0,0,0,LiquorBvic,,758 Hope St,Providence,RI,"758 Hope St, Providence, RI",41.8476581,-71.3959421,Hope,44007003300,0.25,0,17,17,0,1.388399097
562,J-&-J-NAIL-SALON,J&J Nail Salon & Spa,0,0,0,0,NA,0,0,0,SundaySale,,375 Admiral St,Providence,RI,"375 Admiral St, Providence, RI",41.8461944,-71.4285201,Wanskuck,44007002700,0.25,0,14,14,0,1.159834258
786,J-&-M-Convenience-Store,J & M Convenience Store,1,0,0,0,NA,0,0,0,FoodDisp,,718 Plainfield St,Providence,RI,"718 Plainfield St, Providence, RI",41.811044,-71.4617767,Silver Lake,44007001700,0.25,0,7,7,0,2.96467186
95,J.-Jill,J.Jill,0,0,0,0,NA,0,0,0,SundaySale,,1 Providence Place Mal,Providence,RI,"1 Providence Place Mal, Providence, RI",41.8291881,-71.4168073,Downtown,44007000800,0.25,1,33,34,0.029,0
96,Jacky-s-Waterplace-Restaurant,Jacky's Waterplace,0,0,0,0,NA,0,0,0,LiquorBvic,,200 Exchange St,Providence,RI,"200 Exchange St, Providence, RI",41.827298,-71.4132846,Downtown,44007000800,0.25,6,65,71,0.085,0
787,Jade-Express,Jade Tree Asian Bistro,0,0,0,0,NA,0,0,0,SundaySale,,212 Pocasset Ave,Providence,RI,"212 Pocasset Ave, Providence, RI",41.8091942,-71.454959,Silver Lake,44007001700,0.25,0,10,10,0,2.549180417
335,Jade-Island,Jade Island Restaurant,0,0,0,0,NA,0,0,0,FoodDisp,,292 Reservoir Ave,Providence,RI,"292 Reservoir Ave, Providence, RI",41.7887269,-71.4304234,Reservoir,44007001500,0.25,0,6,6,0,2.20229462
204,Jade-Tree-Asian-Bistro,Jade Tree Asian Bistro,0,0,0,0,NA,0,0,0,LiquorBvic,,220 Atwells Ave,Providence,RI,"220 Atwells Ave, Providence, RI",41.8233219,-71.4253213,Federal Hill,44007000900,0.25,3,39,42,0.071,0.361452313
10,Jalapenos-Kitchen,Jalapenos kitchen,0,0,0,0,NA,0,0,0,FoodDisp,,8 Academy Ave,Providence,RI,"8 Academy Ave, Providence, RI",41.8250483,-71.4434907,Mount Pleasant,44007002102,0.25,0,17,17,0,1.624122434
463,Jamra,Jamra Hookah Lounge,0,0,0,0,NA,0,0,0,LiquorBvic,,680 Admiral St,Providence,RI,"680 Admiral St, Providence, RI",41.8492022,-71.4392987,Elmhurst,44007002400,0.25,0,4,4,0,1.879692419
351,J-and-G-Auto-Repair,J and G Auto Repair,1,0,0,0,NA,0,0,0,MoVehRep,,665 Plainfield St,Providence,RI,"665 Plainfield St, Providence, RI",41.8125206,-71.4611737,Hartford,44007001800,0.25,0,8,8,0,2.900783633
544,JEEPS-UNLIMITED,Jeeps Unlimited,1,0,0,0,NA,0,0,0,JunkShop,,10 Ambrose St,Providence,RI,"10 Ambrose St, Providence, RI",41.8361418,-71.4164619,Smith Hill,44007002600,0.25,0,6,6,0,0.101935798
780,JERRY-S-SERVICE-INC.,Jerry's Service,1,0,0,0,NA,1,0,0,StoPetrol,,1101 Hope St,Providence,RI,"1101 Hope St, Providence, RI",41.8569492,-71.39098,Blackstone,44007016500,0.25,0,5,5,0,2.080084612
934,Jet-Set,JetSet Lounge,0,0,0,0,NA,0,0,0,LiquorBvic,,1095 Eddy St,Providence,RI,"1095 Eddy St, Providence, RI",41.7970354,-71.4052914,Lower South Providence,44007000500,0.25,0,4,4,0,1.040536475
450,Jiang-Li-Laundry-&-Dry-Cleaning,Jiang Li Laundry & Dry Cleaning,1,0,0,0,NA,0,0,0,Laundry,,1025 Chalkstone Ave,Providence,RI,"1025 Chalkstone Ave, Providence, RI",41.8324972,-71.4419827,Elmhurst,44007002300,0.25,1,29,30,0.033,1.645719261
605,Jimmy-s-Charles-St-Auto-Service,Jimmy's Charles St Auto Service,1,0,0,0,NA,0,0,0,MoVehRep,,800 Charles St,Providence,RI,"800 Charles St, Providence, RI",41.8581265,-71.4217265,Charles,44007002900,0.25,0,1,1,0,1.665205074
891,JIMS-MOBIL,Jims Mobil,0,0,0,0,NA,0,0,0,FoodDisp,,389 Elmwood Ave,Providence,RI,"389 Elmwood Ave, Providence, RI",41.8011172,-71.4266896,West End,44007000300,0.25,0,12,12,0,1.333418704
935,JOHN-MARKET,John and Sons Market,0,0,0,0,NA,0,0,0,FoodDisp,,512 Prairie Ave,Providence,RI,"512 Prairie Ave, Providence, RI",41.800165,-71.4123337,Lower South Providence,44007000500,0.25,0,17,17,0,0.929545413
310,John-s-New-York-System,John's New York Systems Restaurant,0,0,0,0,NA,0,0,0,FoodDisp,,326 Cranston St,Providence,RI,"326 Cranston St, Providence, RI",41.8123971,-71.4297045,West End,44007001400,0.25,0,13,13,0,0.885414736
97,Johnson-&-Wales-University-Club,Johnson & Wales University,0,0,0,0,NA,0,0,0,LiquorD,,207 Pine St,Providence,RI,"207 Pine St, Providence, RI",41.8197414,-71.4129587,Downtown,44007000800,0.25,2,52,54,0.037,0
812,Johnston-s-Foreign-Car-Center,Johnston's Foreign Car Center,1,0,0,0,NA,0,0,0,MoVehRep,,904 Manton Ave,Providence,RI,"904 Manton Ave, Providence, RI",41.8335411,-71.4667855,Manton,44007002000,0.25,0,5,5,0,3.315039643
913,Joyeria-Pepe,Joyeria Pepe,0,0,0,0,NA,0,0,0,SundaySale,,1383 Broad St,Providence,RI,"1383 Broad St, Providence, RI",41.789165,-71.4046037,Washington Park,44007000102,0.25,1,17,18,0.056,1.585875842
250,JULIAN-S,Julians,0,0,0,0,NA,0,0,0,LiquorBvic,,318 Broadway,Providence,RI,"318 Broadway, Providence, RI",41.8199213,-71.4281623,Federal Hill,44007001100,0.25,0,23,23,0,0.559937995
311,K-&-B-SERVICE,K & B SERVICE,1,0,0,0,NA,0,0,0,MoVehRep,,635 Potters Ave,Providence,RI,"635 Potters Ave, Providence, RI",41.8027987,-71.4307541,West End,44007001400,0.25,0,4,4,0,1.408284772
892,K-&-M-Fashions,K & M Fashions,1,0,0,0,NA,0,0,0,SundaySale,,381 Elmwood Ave,Providence,RI,"381 Elmwood Ave, Providence, RI",41.801708,-71.426623,West End,44007000300,0.25,0,12,12,0,1.296435139
773,Kabob-N-Curry,Kabob and Curry,0,0,0,0,NA,0,0,0,LiquorBvic,,261 Thayer St,Providence,RI,"261 Thayer St, Providence, RI",41.8289469,-71.4005655,College Hill,44007003601,0.25,1,26,27,0.037,0.540034154
838,KFC,KFC,0,0,0,0,NA,0,0,0,FoodDisp,,420 Broad St,Providence,RI,"420 Broad St, Providence, RI",41.8121829,-71.421384,Upper South Providence,44007000700,0.25,0,21,21,0,0.495430607
606,KHOO-KITCHEN,Khoo Kitchen,0,0,0,0,NA,0,0,0,FoodDisp,,633 Charles St,Providence,RI,"633 Charles St, Providence, RI",41.8539324,-71.4203118,Charles,44007002900,0.25,1,5,6,0.167,1.360779042
352,KING-WOK,King Wok,0,0,0,0,NA,0,0,0,FoodDisp,,550 Hartford Ave,Providence,RI,"550 Hartford Ave, Providence, RI",41.8181477,-71.4621452,Hartford,44007001800,0.25,0,16,16,0,2.910610374
640,Kitchen-Bar,KG Kitchen Bar,0,0,0,0,NA,0,0,0,LiquorBvic,,771 Hope St,Providence,RI,"771 Hope St, Providence, RI",41.8478096,-71.3953564,Blackstone,44007003300,0.25,0,17,17,0,1.426529573
512,K-KHOUT,K KHOUT,1,0,0,0,NA,0,0,0,FoodDisp,,691 Valley St,Providence,RI,"691 Valley St, Providence, RI",41.8311607,-71.4285449,Valley,44007002500,0.25,0,5,5,0,0.74631806
98,KLEOS,Kleos,0,0,0,0,NA,0,0,0,LiquorBvic,,250 Westminster St,Providence,RI,"250 Westminster St, Providence, RI",41.8227658,-71.4126989,Downtown,44007000800,0.25,8,110,118,0.068,0
672,KNEAD-Doughnuts,Knead Doughnuts,0,0,0,0,NA,0,0,0,FoodDisp,,135 Elmgrove Ave,Providence,RI,"135 Elmgrove Ave, Providence, RI",41.8345504,-71.390572,Blackstone,44007003400,0.25,0,0,0,#DIV/0!,1.317573676
99,Kwench-Juice-Cafe,Kwench Juice Cafe,0,0,0,0,NA,0,0,0,FoodDisp,,155 Westminster St,Providence,RI,"155 Westminster St, Providence, RI",41.823989,-71.4114615,Downtown,44007000800,0.25,6,99,105,0.057,0
11,La-Antigua-Bakery,La Antigua Bakery,0,0,0,0,NA,0,0,0,FoodDisp,,9 Mount Pleasant Ave,Providence,RI,"9 Mount Pleasant Ave, Providence, RI",41.8253645,-71.4484499,Mount Pleasant,44007002102,0.25,0,14,14,0,1.967750433
12,LA-ARTESA-BAKERY,La Artesa Bakery,0,0,0,0,NA,0,0,0,FoodDisp,,216 Academy Ave,Providence,RI,"216 Academy Ave, Providence, RI",41.8306027,-71.4444307,Mount Pleasant,44007002102,0.25,1,24,25,0.04,1.766715018
